Destination,Destination Port,Label,UNKNOWN,smtp,ssh,web
12.13.211.226,80,web,,,,58.0
12.13.211.228,80,web,,,,3.0
12.13.226.23,80,web,1.0,,,94.0
12.14.80.75,80,web,,,,53.0
12.16.1.10,80,web,,,,42.0
12.16.191.161,80,web,,,,79.0
12.16.212.140,80,web,,,,2.0
12.2.169.104,80,web,,,,110.0
12.2.252.101,80,web,,,,244.0
12.2.252.103,80,web,,,,13.0
12.20.180.101,80,web,,,,44.0
12.5.132.10,80,web,,,,58.0
12.5.48.242,80,web,,,,93.0
12.8.161.24,80,web,,,,7.0
128.11.19.150,80,web,,,,18.0
128.11.19.151,80,web,,,,32.0
128.11.19.152,80,web,,,,352.0
128.11.19.153,80,web,,,,3.0
128.11.19.154,80,web,,,,10.0
128.11.19.156,80,web,,,,1.0
128.11.19.212,80,web,,,,159.0
128.11.19.240,80,web,,,,1.0
128.11.19.241,80,web,,,3.0,57.0
128.11.19.60,80,web,1.0,,,44.0
128.11.19.66,80,web,1.0,,,26.0
128.11.250.130,80,web,,,,4.0
128.11.41.40,80,web,,,3.0,929.0
128.11.42.60,80,web,,,,37.0
128.11.42.61,80,web,,,,11.0
128.11.47.66,80,web,,,,13.0
128.117.37.2,80,web,,,,1.0
128.132.42.60,80,web,,,,156.0
128.158.144.106,80,web,,,,1.0
128.164.127.251,80,web,,,,17.0
128.183.17.121,80,web,,,,15.0
128.183.216.171,80,web,,,,115.0
128.190.159.70,80,web,,,,215.0
128.190.171.250,80,web,,,,61.0
128.197.100.11,80,web,1.0,,,6.0
128.2.230.10,80,web,,,,2.0
128.227.102.147,80,web,,,,2.0
128.236.25.10,80,web,,,,139.0
128.253.22.200,80,web,,,,1.0
128.253.22.211,80,web,,,,16.0
128.49.13.61,80,web,1.0,,,7.0
128.59.35.59,80,web,1.0,,,6.0
129.188.136.63,80,web,,,,44.0
129.188.8.50,80,web,,,,1.0
129.198.94.91,80,web,,,,132.0
129.21.3.112,80,web,,,,194.0
129.48.132.250,80,web,,,,90.0
129.48.195.223,80,web,,,,46.0
129.48.195.225,80,web,,,,116.0
129.48.195.231,80,web,,,,2.0
129.48.28.11,80,web,,,,17.0
129.48.28.12,80,web,,,,64.0
129.48.28.13,80,web,6.0,,,529.0
129.48.28.16,80,web,,,,24.0
129.52.70.71,80,web,,,,215.0
129.53.1.45,80,web,,,,23.0
129.53.165.193,80,web,,,,10.0
129.53.216.18,80,web,,,,5.0
129.53.216.5,80,web,6.0,6.0,,2312.0
129.53.3.217,80,web,,,,4.0
129.53.96.192,80,web,,,5.0,4.0
129.61.132.35,80,web,,,,49.0
129.63.1.100,80,web,,,,209.0
129.63.1.2,80,web,,,,2.0
129.63.122.194,80,web,,,,4.0
129.63.122.196,80,web,1.0,,,96.0
129.63.122.198,80,web,,,,16.0
129.63.144.72,80,web,,,,5.0
129.63.144.74,80,web,,,,1.0
129.92.1.66,80,web,,,,1.0
130.179.16.37,80,web,,,,4.0
130.215.25.53,80,web,,,,116.0
