Destination,Destination Port,Label,ssh,web
12.13.211.226,80,web,,58.0
12.13.211.228,80,web,,3.0
12.16.1.10,80,web,,2.0
12.16.191.161,80,web,,3.0
128.11.19.150,80,web,,3.0
128.11.19.151,80,web,,1.0
128.11.19.152,80,web,,162.0
128.11.19.212,80,web,,20.0
128.11.19.241,80,web,1.0,7.0
128.11.19.60,80,web,,4.0
128.11.19.66,80,web,,2.0
128.11.41.40,80,web,,89.0
128.132.42.60,80,web,,13.0
128.183.216.171,80,web,,17.0
128.190.159.70,80,web,,66.0
128.197.100.11,80,web,,3.0
128.236.25.10,80,web,,3.0
128.49.13.61,80,web,,1.0
129.48.132.250,80,web,,45.0
129.48.28.16,80,web,,1.0
129.53.1.45,80,web,,2.0
129.53.165.193,80,web,,3.0
129.53.216.18,80,web,,1.0
129.53.216.5,80,web,,309.0
129.53.96.192,80,web,,1.0
129.61.132.35,80,web,,18.0
129.63.1.100,80,web,,40.0
129.63.1.2,80,web,,1.0
129.63.122.196,80,web,,10.0
129.63.122.198,80,web,,6.0
131.100.110.99,80,web,,31.0
131.107.75.34,80,web,,1.0
131.15.144.52,80,web,,7.0
131.38.122.67,80,web,,6.0
131.44.104.200,80,web,,17.0
131.45.16.9,80,web,,1.0
131.6.187.12,80,web,,1.0
131.6.187.206,80,web,,1.0
131.6.84.5,80,web,,54.0
131.66.1.233,80,web,,48.0
131.84.1.31,80,web,,301.0
131.84.1.34,80,web,,215.0
131.84.1.60,80,web,,9.0
131.84.1.68,80,web,,37.0
132.25.1.25,80,web,,12.0
132.26.17.20,80,web,1.0,45.0
132.60.128.81,80,web,,5.0
132.60.56.5,80,web,,4.0
132.80.207.7,80,web,,1.0
134.11.7.5,80,web,,4.0
134.131.147.160,80,web,,92.0
134.152.25.12,80,web,,84.0
134.152.25.28,80,web,,1.0
134.177.3.28,80,web,,1.0
134.177.3.35,80,web,,35.0
134.205.131.20,80,web,,1.0
134.205.131.21,80,web,,5.0
134.205.131.26,80,web,,15.0
134.205.131.29,80,web,,5.0
134.205.131.41,80,web,,9.0
134.205.131.65,80,web,,65.0
134.205.165.120,80,web,,258.0
134.205.165.122,80,web,,2.0
134.50.5.64,80,web,,11.0
135.13.216.191,23,ssh,5.0,
135.145.253.41,80,web,,15.0
135.145.64.75,80,web,,5.0
135.8.60.182,23,ssh,7.0,
136.149.15.15,80,web,,19.0
136.149.63.132,80,web,,513.0
136.167.2.146,80,web,,11.0
137.240.78.111,80,web,,7.0
137.240.78.49,80,web,,9.0
137.241.250.70,80,web,,252.0
137.242.51.201,80,web,,1.0
137.243.251.4,80,web,,124.0
137.244.199.129,80,web,,1.0
137.245.85.134,80,web,,29.0
137.78.210.39,80,web,,1.0
137.78.28.58,80,web,,34.0
137.78.73.24,80,web,,5.0
138.12.4.36,80,web,,47.0
138.147.50.5,80,web,,38.0
138.147.50.50,80,web,,7.0
139.169.35.12,80,web,,7.0
139.72.190.50,80,web,,40.0
140.140.138.108,80,web,,46.0
140.175.174.30,80,web,,126.0
