no , model , rate
1 , Random Forest Model Accuracy Rate (n=100): , 0.9966519956363089
1 , Decision Tree Model Accuracy Rate (depth=4): , 0.9670654177481849
1 , Hybrid Model Accuracy Rate (n=100 depth=4): , 0.7185795433171576
1 , Test Accuracy Rate of Test DATA(RF): , 0.9509773489571208
1 , Test Accuracy Rate of Test DATA(DT): , 0.9720612707692042
1 , Test Accuracy Rate of Test DATA(Hybrid): , 0.5481366995180079
1 , Training/Validation Dataset Total Detection Rate(RF): , 0.9969301611665388
1 , Training/Validation Dataset Total Detection Rate(DT): , 0.9819646968534151
1 , Training/Validation Dataset Total Detection Rate(Hybrid): , 0.9819646968534151
1 , Training/Validation Dataset SSH Precision(RF): , 0.7241379310344828
1 , Training/Validation Dataset SSH Precision(DT): , 0.3088235294117647
1 , Training/Validation Dataset SSH Precision(Hybrid): , 0.3088235294117647
1 , Training/Validation Dataset SSH Recall(RF): , 1.0
1 , Training/Validation Dataset SSH Recall(DT): , 1.0
1 , Training/Validation Dataset SSH Recall(Hybrid): , 1.0
1 , Training/Validation Dataset False Positive Rate of total detection(RF): , 0.003094777562862669
1 , Training/Validation Dataset False Positive Rate of total detection(DT): , 0.01818181818181818
1 , Training/Validation Dataset False Positive Rate of total detection(Hybrid): , 0.01818181818181818
1 , Training/Validation Dataset True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.0
1 , Evaluation Test Total Detection Rate(RF): , 0.9959003468937244
1 , Evaluation Test Total Detection Rate(DT): , 0.9887522337853464
1 , Evaluation Test Total Detection Rate(Hybrid): , 0.988647114474929
1 , Evaluation Test SSH Precision(RF): , 0.3793103448275862
1 , Evaluation Test SSH Precision(DT): , 0.1893939393939394
1 , Evaluation Test SSH Precision(Hybrid): , 0.18796992481203006
1 , Evaluation Test SSH Recall(RF): , 0.88
1 , Evaluation Test SSH Recall(DT): , 1.0
1 , Evaluation Test SSH Recall(Hybrid): , 1.0
1 , Evaluation Test False Positive Rate of total detection(RF): , 0.0037942664418212477
1 , Evaluation Test False Positive Rate of total detection(DT): , 0.011277403035413153
1 , Evaluation Test False Positive Rate of total detection(Hybrid): , 0.011382799325463743
1 , Evaluation Test True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.12
2 , Random Forest Model Accuracy Rate (n=100): , 0.9965955685964715
2 , Decision Tree Model Accuracy Rate (depth=4): , 0.9672723168942557
2 , Hybrid Model Accuracy Rate (n=100 depth=4): , 0.743275777752699
2 , Test Accuracy Rate of Test DATA(RF): , 0.9511045293463359
2 , Test Accuracy Rate of Test DATA(DT): , 0.9715374600136234
2 , Test Accuracy Rate of Test DATA(Hybrid): , 0.5568345447804306
2 , Training/Validation Dataset Total Detection Rate(RF): , 0.9988826815642458
2 , Training/Validation Dataset Total Detection Rate(DT): , 0.9843575418994414
2 , Training/Validation Dataset Total Detection Rate(Hybrid): , 0.9843575418994414
2 , Training/Validation Dataset SSH Precision(RF): , 0.9166666666666666
2 , Training/Validation Dataset SSH Precision(DT): , 0.3492063492063492
2 , Training/Validation Dataset SSH Precision(Hybrid): , 0.3492063492063492
