no , model , rate
1 , Random Forest Model Accuracy Rate (n=100): , 0.9996510588183979
1 , Decision Tree Model Accuracy Rate (depth=4): , 0.9993457352844961
1 , Hybrid Model Accuracy Rate (n=100 depth=4): , 0.9174099840795585
1 , Evaluation Accuracy Rate of Compare DATA(RF): , 0.9941655862196703
1 , Evaluation Accuracy Rate of Compare DATA(DT): , 0.9952074458233006
1 , Evaluation Accuracy Rate of Compare DATA(Hybrid): , 0.7975087979255417
1 , Test Dataset Total Detection Rate(RF): , 0.996969696969697
1 , Test Dataset Total Detection Rate(DT): , 0.9931818181818182
1 , Test Dataset Total Detection Rate(Hybrid): , 0.9931818181818182
1 , Test Dataset SSH Precision(RF): , 0.8846153846153846
1 , Test Dataset SSH Precision(DT): , 0.7419354838709677
1 , Test Dataset SSH Precision(Hybrid): , 0.7419354838709677
1 , Test Dataset SSH Recall(RF): , 0.9583333333333334
1 , Test Dataset SSH Recall(DT): , 0.9583333333333334
1 , Test Dataset SSH Recall(Hybrid): , 0.9583333333333334
1 , Test Dataset False Positive Rate of total detection(RF): , 0.0023148148148148147
1 , Test Dataset False Positive Rate of total detection(DT): , 0.006172839506172839
1 , Test Dataset False Positive Rate of total detection(Hybrid): , 0.006172839506172839
1 , Test Dataset True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.0
1 , Evaluation Total Detection Rate(RF): , 0.9715261958997722
1 , Evaluation Total Detection Rate(DT): , 0.9669703872437357
1 , Evaluation Total Detection Rate(Hybrid): , 0.9669703872437357
1 , Evaluation SSH Precision(RF): , 0.3902439024390244
1 , Evaluation SSH Precision(DT): , 0.35555555555555557
1 , Evaluation SSH Precision(Hybrid): , 0.35555555555555557
1 , Evaluation SSH Recall(RF): , 1.0
1 , Evaluation SSH Recall(DT): , 1.0
1 , Evaluation SSH Recall(Hybrid): , 1.0
1 , Evaluation False Positive Rate of total detection(RF): , 0.029002320185614848
1 , Evaluation False Positive Rate of total detection(DT): , 0.033642691415313224
1 , Evaluation False Positive Rate of total detection(Hybrid): , 0.033642691415313224
1 , Evaluation True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.0
2 , Random Forest Model Accuracy Rate (n=100): , 0.999498397051447
2 , Decision Tree Model Accuracy Rate (depth=4): , 0.9990840293982945
2 , Hybrid Model Accuracy Rate (n=100 depth=4): , 0.8551457919874381
2 , Evaluation Accuracy Rate of Compare DATA(RF): , 0.9943971105760326
2 , Evaluation Accuracy Rate of Compare DATA(DT): , 0.9952305982589369
2 , Evaluation Accuracy Rate of Compare DATA(Hybrid): , 0.7975087979255417
2 , Test Dataset Total Detection Rate(RF): , 0.9947916666666666
2 , Test Dataset Total Detection Rate(DT): , 0.9903273809523809
2 , Test Dataset Total Detection Rate(Hybrid): , 0.9903273809523809
2 , Test Dataset SSH Precision(RF): , 0.7586206896551724
2 , Test Dataset SSH Precision(DT): , 0.6285714285714286
2 , Test Dataset SSH Precision(Hybrid): , 0.6285714285714286
2 , Test Dataset SSH Recall(RF): , 1.0
2 , Test Dataset SSH Recall(DT): , 1.0
2 , Test Dataset SSH Recall(Hybrid): , 1.0
2 , Test Dataset False Positive Rate of total detection(RF): , 0.00529500756429652
2 , Test Dataset False Positive Rate of total detection(DT): , 0.009833585476550681
2 , Test Dataset False Positive Rate of total detection(Hybrid): , 0.009833585476550681
2 , Test Dataset True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.0
2 , Evaluation Total Detection Rate(RF): , 0.9772209567198178
2 , Evaluation Total Detection Rate(DT): , 0.9669703872437357
2 , Evaluation Total Detection Rate(Hybrid): , 0.9669703872437357
2 , Evaluation SSH Precision(RF): , 0.4444444444444444
2 , Evaluation SSH Precision(DT): , 0.35555555555555557
2 , Evaluation SSH Precision(Hybrid): , 0.35555555555555557
2 , Evaluation SSH Recall(RF): , 1.0
2 , Evaluation SSH Recall(DT): , 1.0
2 , Evaluation SSH Recall(Hybrid): , 1.0
2 , Evaluation False Positive Rate of total detection(RF): , 0.02320185614849188
2 , Evaluation False Positive Rate of total detection(DT): , 0.033642691415313224
2 , Evaluation False Positive Rate of total detection(Hybrid): , 0.033642691415313224
2 , Evaluation True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.0
3 , Random Forest Model Accuracy Rate (n=100): , 0.999498397051447
3 , Decision Tree Model Accuracy Rate (depth=4): , 0.9991058382221447
