,Label,Label_RF100,Label_DT4,Label_HYBRID_100_4,Destination,Destination Port,No_url
0,web,web,web,ssh,136.149.63.132,80,1
1,web,web,web,web,207.121.184.81,80,1
2,web,web,web,web,209.1.224.190,80,1
3,web,web,web,web,206.99.246.5,80,1
4,web,web,web,ssh,207.25.71.200,80,1
5,web,web,web,ssh,209.143.225.42,80,1
6,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,172.16.114.148,9272,1
7,web,web,web,web,192.151.11.13,80,1
8,web,web,web,web,132.26.17.20,80,1
9,web,web,web,web,199.95.74.90,80,1
10,web,web,web,web,207.228.220.66,80,1
11,web,web,web,web,207.121.184.81,80,1
12,web,web,web,web,207.159.129.100,80,1
13,web,web,web,web,199.95.74.107,80,1
14,web,web,web,web,204.71.200.129,80,1
15,smtp,smtp,smtp,smtp,195.73.151.50,25,1
16,web,web,web,ssh,209.1.224.15,80,1
17,smtp,smtp,smtp,smtp,194.7.248.153,25,1
18,web,web,web,web,209.83.255.7,80,1
19,web,web,web,web,207.25.146.153,80,1
20,smtp,smtp,smtp,smtp,172.16.112.207,25,1
21,web,web,web,ssh,172.16.112.100,80,1
22,web,web,web,ssh,199.95.74.97,80,1
23,web,web,web,web,207.211.106.40,80,1
24,web,web,web,web,207.159.154.166,80,1
25,web,web,web,web,207.25.71.5,80,1
26,web,web,web,ssh,207.68.161.27,80,1
27,web,web,web,web,206.132.25.51,80,1
28,smtp,smtp,smtp,smtp,197.182.91.233,25,0
29,smtp,smtp,smtp,smtp,172.16.112.207,25,1
30,web,web,web,ssh,207.25.71.200,80,1
31,web,web,web,web,209.67.29.11,80,1
32,web,web,web,web,204.71.200.135,80,1
33,web,web,web,web,209.132.18.18,80,1
34,web,web,web,ssh,207.25.71.200,80,1
35,web,web,web,web,139.72.190.50,80,1
36,web,web,web,web,206.132.25.51,80,1
37,web,web,web,web,199.95.74.90,80,1
38,smtp,smtp,UNKNOWN,smtp,194.27.251.21,25,1
39,web,web,web,web,207.46.130.14,80,1
40,smtp,smtp,smtp,smtp,172.16.112.100,25,1
41,ssh,ssh,ssh,ssh,196.37.75.158,23,1
42,web,web,web,web,204.202.130.223,80,1
43,web,web,web,web,207.87.1.51,80,1
44,web,web,web,web,209.1.163.17,80,1
45,web,web,web,web,204.202.136.230,80,1
46,web,web,web,web,199.95.73.149,80,1
47,web,web,web,ssh,207.25.71.200,80,1
48,web,web,web,web,209.67.29.11,80,1
49,web,web,web,web,207.25.71.5,80,1
50,web,web,web,web,207.121.184.81,80,1
51,web,web,web,web,207.25.71.5,80,1
52,web,web,web,ssh,198.60.134.51,80,1
53,web,web,web,web,209.63.195.70,80,1
54,web,web,web,ssh,199.95.209.99,80,1
55,web,web,web,web,199.95.74.107,80,1
56,web,web,web,web,205.181.112.67,80,1
57,web,web,web,ssh,172.16.112.100,80,1
58,UNKNOWN,UNKNOWN,smtp,UNKNOWN,172.16.113.204,79,1
59,web,web,web,web,204.71.200.129,80,1
60,web,web,web,web,204.71.200.129,80,1
61,web,web,web,web,167.8.29.40,80,1
62,web,web,web,web,206.132.25.51,80,1
63,web,web,web,web,192.41.15.61,80,1
64,web,web,web,web,207.46.130.14,80,1
65,web,web,web,web,38.217.109.100,80,1
66,web,web,web,web,198.116.116.10,80,1
67,web,web,web,web,207.88.21.243,80,1
68,web,web,web,web,206.132.25.51,80,1
69,web,web,web,web,208.147.89.140,80,1
70,web,web,web,web,207.121.184.81,80,1
71,web,web,web,ssh,136.149.63.132,80,1
72,web,web,web,web,129.53.216.5,80,1
73,web,web,web,web,207.121.184.81,80,1
